index,Club,National_id,Club_Position,Club_Kit,Club_Joining
5266,Kasimpaa,a7,ST,9,01/28/2016
5267,Palermo,a8,RB,3,07/02/2015
5268,Odense BK,a21,LM,9,07/01/2016
5269,Carpi,a8,GK,1,07/02/2014
5270,Aberdeen,a30,RDM,22,08/01/2008
5272,Brighton,a30,Sub,15,08/14/2015
5273,Greuther Frth,a16,LS,23,07/01/2016
5274,Girona CF,a1,LS,21,07/08/2016
5275,Stade Brestois,a7,RB,13,08/14/2014
5276,CD Tenerife,a7,LB,4,07/04/2016
5277,Willem II,a4,LB,26,09/05/2016
5278,Real Zaragoza,a1,LM,17,07/13/2016
5279,ADO Den Haag,a10,LB,8,07/01/2012
5280,Brisigonza,a8,LS,10,01/25/2017
5281,Montpellier HSC,a7,Sub,21,06/09/2015
5282,Sheffield Wed,a7,Sub,39,08/19/2016
5283,Dijon FCO,a18,LB,23,08/07/2016
5284,KV Kortrijk,a4,GK,28,07/01/2016
5285,Sport. Lokeren,a23,RB,11,02/09/2016
5286,Sint-Truiden,a7,Sub,24,07/01/2016
5288,CA Osasuna,a7,Res,12,07/16/2014
5289,Uni. Catlica,a13,Sub,22,01/01/2015
5290,Hannover 96,a3,Sub,20,07/01/2012
5291,Trabzonspor,a5,Sub,88,08/04/2016
5292,Gimn†stic,a1,Sub,22,01/01/2017
5293,Legia Warszawa,a12,Sub,5,08/06/2016
5295,Derby County,a21,LB,29,01/26/2016
5296,KAA Gent,a21,Sub,11,07/09/2016
5297,Akhisarspor,a21,Sub,90,08/18/2015
5298,Quertaro,a15,Sub,2,07/01/2013
5299,Anzhi Makhachkala,a25,RB,24,08/31/2016
5300,Arsenal Tula,a25,Sub,9,01/25/2017
5301,Arouca,a3,Res,21,01/12/2017
5302,Panathinaikos,a21,Sub,8,02/08/2017
5303,Guadalajara,a15,Sub,16,01/01/2010
5304,Guadalajara,a15,LCB,2,06/10/2015
5305,U.N.A.M.,a15,LCM,7,06/01/2009
5306,CD Huachipato,a5,RCB,5,01/02/2012
5307,Derby County,a9,Sub,18,09/01/2015
5308,Uni. de a13,a5,Sub,27,01/21/2016
5311,Toluca,a15,Sub,6,01/01/2008
5313,Leeds United,a9,RB,2,08/11/2016
5314,Novara,a8,LS,10,12/14/2016
5315,Reading,a9,Sub,54,01/29/2015
5316,IFK Norrkping,a21,RM,8,01/08/2015
5317,Pescara,a8,Sub,1,06/30/2016
5318,a41gia,a8,RCB,14,07/07/2015
5319,Derby County,a30,CAM,7,07/01/2013
5320,Antalyaspor,a3,RDM,8,02/02/2016
5322,Santos Laguna,a26,Sub,19,12/11/2015
5324,Salerno,a8,RB,29,08/31/2016
5325,Carpi,a8,LCM,8,01/16/2014
5326,QPR,a9,Res,14,07/01/2015
5327,Willem II,a4,RDM,6,07/01/2015
5328,EA Guingamp,a4,Sub,12,07/01/2015
5329,Estoril Praia,a6,RW,88,08/31/2016
5330,KV Kortrijk,a7,CF,9,01/06/2017
5331,Real Oviedo,a1,Sub,14,06/29/2015
5332,a18 Wien,a18,CAM,10,07/01/2011
5333,Birmingham City,a2,CM,7,07/01/2016
5334,VfB Stuttgart,a2,Sub,13,07/01/2016
5335,Sp. Charleroi,a4,RS,10,07/01/2015
5336,FC Metz,a39,RDM,14,09/01/2015
5337,Stade de Reims,a7,LCB,25,05/19/2010
5338,F. Santa Maria,a6,LDM,17,07/01/2011
5339,Aberdeen,a9,RB,2,06/12/2014
5340,Levante UD,a1,Sub,13,07/12/2014
5341,Arminia Bielefeld,a2,Sub,1,07/01/2015
5342,Sint-Truiden,a4,Sub,13,07/01/2015
5343,1. FC Nrnberg,a2,GK,26,07/01/2015
5345,RC Lens,a37,Sub,8,01/28/2016
5346,Erzgebirge Aue,a2,GK,1,07/01/2008
5347,Seongnam FC,a3,CAM,43,01/06/2017
5350,FC Lorient,a7,CDM,6,09/01/2014
5352,Sydney FC,a38,LCB,4,05/02/2016
5353,KV Mechelen,a23,Sub,21,01/09/2017
5355,Free Agents,a21,Res,99,01/01/2015
5356,Adelaide United,a38,LB,21,07/09/2013
5357,Shonan Bellmare,a3,ST,9,08/05/2016
5358,FC Ingolstadt,a2,Sub,28,11/18/2014
5359,Amrica,a3,CM,7,01/01/2016
5361,Orlando Pirates,a37,RB,4,08/01/2006
5362,KV Oostende,a4,RB,27,07/15/2015
5363,LA Galaxy,a26,Sub,14,05/25/2013
5365,Chaves,a6,LCB,14,01/21/2017
5366,Terni,a8,Sub,23,01/31/2017
5367,Salerno,a8,LB,3,07/05/2016
5368,Free Agents,a36,Res,99,07/01/2015
5369,KVC Westerlo,a4,Sub,29,07/01/2015
5371,Wigan Athletic,a7,LW,11,01/31/2017
5372,Feyenoord,a21,Sub,30,01/25/2016
5373,Legia Warszawa,a12,RB,28,07/01/2013
5374,AD Alcorcn,a1,LB,16,08/05/2014
5375,SC Freiburg,a2,Sub,23,07/01/2008
5376,Union Berlin,a2,CDM,8,07/01/2015
5377,Konyaspor,a43,LS,9,07/01/2014
5378,F. Dsseldorf,a12,CDM,13,01/01/2011
5379,1. FC Heidenheim,a2,RB,29,01/01/2012
5380,AS Nancy,a7,Sub,7,07/01/2015
5382,Colo-Colo,a13,RM,9,12/18/2014
5383,Strmsgodset IF,a33,ST,10,08/13/2015
5384,Atl. Nacional,a14,Sub,27,01/16/2017
5385,Chicago Fire,a11,GK,1,01/08/2017
5386,Nacional,a6,Sub,25,01/26/2017
5387,Free Agents,a45,Res,99,05/13/2015
5389,Arouca,a6,ST,16,01/01/2017
5390,Sport. Lokeren,a4,ST,9,07/01/2016
5393,Brighton,a9,RS,9,08/27/2014
5394,Perth Glory,a38,LCB,5,07/01/2016
5396,Charlton Ath,a9,Res,16,08/04/2016
5397,Preston,a9,RB,5,05/22/2013
5399,SV Sandhausen,a18,GK,1,07/01/2013
5400,CF Reus Deportiu,a1,ST,21,07/05/2016
5401,Gimn†stic,a1,GK,1,07/01/2013
5402,Free Agents,a29,Res,99,03/19/2015
5404,Reading,a9,Sub,50,01/11/2016
5405,Ipswich,a9,Sub,11,06/26/2015
5406,Belgrano,a5,ST,16,01/13/2016
5407,Clermont Foot,a7,Sub,3,06/12/2014
5408,Real Oviedo,a1,Sub,11,07/08/2016
5409,Getafe CF,a1,Sub,14,07/04/2016
5410,Real Oviedo,a1,GK,13,07/08/2016
5411,Monterrey,a26,Sub,2,06/10/2015
5412,a41gia,a8,Sub,17,07/27/2015
5414,Reading,a7,ST,18,01/20/2016
5415,Bristol City,a9,Sub,13,01/28/2016
5417,Burton Albion,a9,LCB,6,07/01/2016
5419,Birmingham City,a9,Sub,3,06/02/2014
5420,Cardiff City,a9,Sub,2,01/24/2015
5421,Rangers,a9,Sub,7,08/20/2016
5423,QPR,a9,RCM,2,01/30/2017
5425,FC Groningen,a10,Sub,23,08/26/2015
5426,NY Red Bulls,a7,RCB,55,01/28/2017
5428,Kashima Antlers,a3,LS,7,01/07/2017
5429,Cardiff City,a9,Sub,16,08/21/2012
5430,Zenit,a25,Res,5,01/17/2014
5431,Krylya Sovetov,a25,LCB,4,01/01/2008
5432,Cruz Azul,a15,LB,16,06/08/2016
5435,Pogo Szczecin,a12,RDM,6,02/25/2014
5436,CA Osasuna,a7,Sub,23,07/08/2015
5437,Le Havre AC,a7,RCB,26,07/11/2015
5438,SC Bastia,a7,Sub,28,09/10/2014
5439,Nott'm Forest,a9,Sub,25,01/31/2014
5440,Greuther Frth,a2,Sub,9,01/10/2015
5441,Brisbane Roar,a17,RCM,7,07/26/2016
5442,Orlando City,a44,RB,8,01/03/2017
5443,Pescara,a8,Sub,35,07/20/2016
5444,CD Legans,a5,Sub,1,07/01/2012
5445,Santos Laguna,a5,Sub,23,06/08/2016
5446,Orlando City,a26,LCB,2,01/24/2017
5448,Le Havre AC,a7,LS,27,08/28/2015
5449,RCD Mallorca,a5,CAM,19,07/05/2016
5450,Empoli,a8,Sub,3,08/13/2015
5451,Monarcas Morelia,a15,Sub,3,01/01/2012
5452,Hannover 96,a2,GK,1,07/01/2015
5453,FC Kbenhavn,a17,RCM,6,07/17/2015
5454,SV Darmstadt,a2,Sub,13,01/20/2017
5455,Toluca,a15,LB,2,06/04/2014
5456,Cruz Azul,a15,CAM,10,06/01/2010
5457,BK Hcken,a21,RCB,7,07/19/2016
5458,Necaxa,a13,LCB,3,07/13/2015
5459,Orlando City,a8,LDM,23,02/18/2016
5460,FC Utrecht,a10,Res,28,08/17/2016
5462,Cruz Azul,a15,Sub,3,06/05/2014
5463,Nott'm Forest,a9,Sub,5,07/01/2015
5466,RC Strasbourg,a7,CAM,28,07/10/2016
5467,Nott'm Forest,a9,Res,8,07/06/2007
5468,Akhisarspor,a6,Sub,9,02/02/2016
5469,Odds BK,a33,RCM,8,01/01/2010
5471,a41gia,a8,GK,1,07/16/2015
5472,Leicester City,a12,Sub,27,09/18/2013
5473,Legia Warszawa,a12,GK,1,02/02/2015
5474,Free Agents,a32,Res,99,07/01/2012
5475,Lokomotiv Moscow,a25,Res,10,07/01/2010
5476,Sporting Gijn,a1,CDM,22,07/01/2016
5477,Real Betis,a1,Sub,1,07/04/2014
5478,CF Reus Deportiu,a1,LDM,22,01/13/2016
5479,Crdoba CF,a1,RM,18,08/19/2015
5480,Getafe CF,a1,Sub,25,01/03/2017
5481,Karabkspor,a16,GK,78,07/01/2016
5482,RB Salzburg,a18,Sub,6,07/01/2009
5483,Uni. de a13,a13,CAM,22,01/01/2011
5484,Parque Patricios,a5,Sub,4,01/04/2016
5485,Randers FC,a17,RB,4,01/30/2012
5486,FC Orenburg,a43,CAM,40,08/31/2016
5487,Burton Albion,a9,LM,28,06/28/2014
5488,Wigan Athletic,a9,CB,3,07/26/2016
5489,V. Guimares,a6,Sub,6,07/04/2013
5490,Toluca,a15,Sub,3,06/05/2014
5491,Monarcas Morelia,a15,Sub,8,12/17/2014
5492,Port Vale,a39,Sub,39,03/19/2017
5493,Sunderland,a9,Sub,15,01/24/2017
5494,KV Oostende,a28,RCB,18,07/01/2015
5496,Esbjerg fB,a17,LCM,7,01/11/2016
5498,AJ Auxerre,a12,CM,3,11/04/2016
5499,Trapani,a8,LB,29,07/08/2013
5500,Vicenza,a8,GK,1,02/03/2016
5501,Real Zaragoza,a23,Sub,5,02/06/2017
5503,Chievo Verona,a8,Res,32,07/13/2015
5504,Roma,a32,Sub,18,08/01/2009
5506,CD O'Higgins,a5,ST,9,01/01/2012
5507,Melbourne City,a17,GK,1,08/31/2015
5508,Nott'm Forest,a12,Sub,27,07/22/2016
5509,Preston,a17,Sub,1,07/02/2016
5510,Aalborg BK,a17,RCM,8,07/09/2009
5511,Kasimpaa,a16,RDM,5,07/09/2015
5512,FC Kbenhavn,a17,Sub,1,07/01/2014
5513,KVC Westerlo,a4,LCB,3,07/01/2015
5514,aykur Rizespor,a16,LB,60,06/01/2016
5515,Novara,a8,RCB,3,02/02/2016
5516,Cesena,a8,Sub,22,07/18/2016
5517,Norwich,a30,Sub,2,07/20/2012
5518,RB Salzburg,a2,GK,33,07/01/2010
5520,Atltico Bucaramanga,a14,Sub,14,01/04/2017
5521,Elche CF,a1,ST,11,08/19/2016
5522,UD Almer a,a1,RDM,5,01/17/2017
5523,C diz C.F.,a1,GK,1,07/04/2015
5524,Heracles Almelo,a4,GK,1,07/01/2014
5525,Cesena,a8,GK,1,07/02/2014
5526,IFK Norrkping,a18,GK,31,07/21/2016
5527,Ross County,a30,Sub,22,09/27/2016
5528,FC Augsburg,a2,Sub,8,07/01/2014
5529,Celtic,a30,Sub,15,01/28/2011
5530,Rotherham Utd,a40,Sub,1,09/01/2015
5531,Bristol City,a9,RDM,6,07/01/2016
5532,BSC Young Boys,a18,LCB,21,07/11/2013
5533,Dijon FCO,a7,LCB,27,06/01/2011
5534,CD Numancia,a35,CAM,10,08/01/2011
5535,Rangers,a18,Sub,24,08/31/2016
5537,Aarhus GF,a17,ST,13,01/27/2016
5538,Houston Dynamo,a26,LB,7,02/10/2017
5539,Celtic,a10,Sub,24,08/14/2016
5540,Huddersfield,a9,Sub,4,07/01/2015
5541,Rangers,a9,LCB,3,07/01/2016
5542,Panathinaikos,a9,Sub,15,07/20/2014
5543,Hearts,a40,Sub,5,01/09/2017
5544,Burnley,a9,Sub,17,01/26/2016
5545,CF Reus Deportiu,a6,Sub,6,08/24/2014
5546,Wigan Athletic,a30,GK,35,01/31/2017
5547,Ajax,a10,Sub,33,08/31/2014
5548,Real Betis,a1,Res,25,08/02/2016
5551,SC Braga,a6,Res,44,07/01/2013
5552,Palmeiras,a3,LS,11,02/01/2016
5553,Figueirense,a3,RM,8,02/01/2016
5554,Vitria,a3,Sub,13,02/01/2016
5555,Goi s,a3,LAM,10,02/01/2016
5556,Coritiba,a3,Sub,17,02/01/2016
5557,Coritiba,a3,Sub,16,02/01/2016
5558,Palmeiras,a3,Sub,15,02/01/2016
5559,Sevilla Atlt.,a11,Sub,6,08/23/2016
5560,CA Osasuna,a1,Res,31,07/01/2015
5562,Atalanta,a29,Res,52,08/08/2016
5563,Unin,a27,LM,11,06/01/2012
5568,Spal,a8,RM,29,07/01/2013
5570,Orlando City,a11,RCB,4,01/01/2017
5571,Olympiakos CFP,a23,LCB,45,07/01/2015
5572,Junior,a14,CAM,7,07/01/2016
5573,V. Setbal,a6,RM,24,07/01/2016
5574,Boavista,a6,LB,5,07/01/2016
5575,Moreirense,a6,LB,5,07/04/2016
5576,Adanaspor,a3,LB,33,07/01/2016
5577,Belenenses,a6,RCB,14,07/01/2011
5578,Sevilla Atlt.,a1,GK,13,07/01/2014
5579,SD Huesca,a6,LCB,2,07/01/2016
5580,FC Orenburg,a25,RB,12,01/01/2010
5581,PEC Zwolle,a10,LB,21,07/01/2014
5582,Mar timo,a6,LB,45,01/31/2015
5583,Sevilla Atlt.,a1,RB,2,07/10/2015
5585,Real Sociedad,a1,Res,29,07/01/2014
5586,Santa Cruz,a3,Sub,15,08/31/2016
5587,Palmeiras,a3,Sub,13,01/01/2016
5588,Figueirense,a3,LDM,7,01/01/2016
5589,Vasco da Gama,a3,GK,1,01/01/2016
5590,Cricima,a3,Sub,13,01/01/2016
5591,Sevilla Atlt.,a1,LB,3,07/01/2015
5592,Free Agents,a34,Res,99,07/01/2014
5593,Hannover 96,a2,Sub,37,03/17/2016
5597,FC Barcelona,a1,Res,28,07/01/2015
5598,C diz C.F.,a1,LDM,5,07/21/2016
5599,Atltico Tucum n,a5,RM,29,01/01/2012
5601,Sagan Tosu,a5,Sub,3,01/31/2017
5605,Bursaspor,a16,Sub,18,07/01/2015
5607,Indep. Medell n,a14,Sub,13,12/22/2016
5608,Valencia CF,a1,Res,26,07/01/2015
5609,Philadelphia,a26,RB,12,01/14/2016
5610,stersunds FK,a21,LS,93,01/01/2016
5611,Villarreal CF,a1,Res,16,07/01/2015
5612,FC Basel,a31,Sub,9,01/04/2016
5613,KV Oostende,a4,ST,19,07/01/2016
5614,Sevilla Atlt.,a1,RM,16,07/01/2013
5615,Patriotas,a14,ST,18,01/03/2016
5616,V. Setbal,a6,LCM,30,01/01/2015
5617,Toulouse FC,a7,Res,2,01/01/2015
5618,1. FSV Mainz 05,a2,Sub,42,09/13/2015
5619,EA Guingamp,a7,Sub,21,07/01/2015
5620,1. FC Heidenheim,a2,RCB,25,07/01/2016
5621,Coritiba,a3,Sub,15,02/01/2012
5622,Palmeiras,a3,Sub,16,06/07/2016
5623,Cruzeiro,a3,RDM,6,08/31/2016
5624,Ava ,a3,Sub,16,01/28/2016
5625,So Paulo,a3,LCB,4,02/01/2015
5626,So Paulo,a3,LB,5,02/01/2015
5627,Ponte Preta,a3,Sub,16,06/29/2016
5628,Fluminense,a3,GK,1,07/06/2016
5629,Fluminense,a3,Sub,15,01/01/2015
5630,Fluminense,a3,Sub,14,08/22/2016
5631,Coritiba,a3,LAM,9,01/01/2015
5632,Grmio,a3,Sub,15,08/22/2016
5633,Figueirense,a3,RDM,6,01/01/2015
5634,Palmeiras,a3,Sub,14,06/07/2016
5635,Atltico Mineiro,a3,Sub,15,01/01/2015
5636,A. Minas G.,a3,RB,2,01/01/2015
5637,A. Minas G.,a3,Sub,12,01/01/2015
5639,Stade Rennais,a7,Sub,14,08/08/2015
5641,Rafaela,a5,CAM,7,07/12/2016
5642,Leicester City,a9,Sub,3,08/26/2015
5643,Real Oviedo,a1,Sub,22,06/01/2015
5644,Sanfrecce Hiroshima,a3,Sub,44,04/17/2014
5646,RC Deportivo,a1,Res,28,07/01/2015
5647,KV Kortrijk,a23,LCB,6,07/17/2015
5648,Gimn†stic,a1,RWB,2,06/07/2014
5649,Hannover 96,a2,Sub,31,05/15/2015
5650,Uni. Concepcin,a13,RW,7,12/24/2015
5651,Deportes Temuco,a27,LW,23,07/01/2012
5652,PAOK,a23,Sub,8,07/01/2015
5653,Uni. Concepcin,a5,LW,24,07/01/2016
5654,Excelsior,a10,RDM,24,08/30/2016
5655,SD Eibar,a1,Sub,6,07/02/2016
5656,Pachuca,a15,RCM,5,07/01/2014
5657,Sint-Truiden,a7,RS,11,07/01/2015
5658,Boavista,a6,RB,20,07/01/2016
5659,FC Barcelona,a1,Res,31,07/01/2016
5660,Bourg-Pronnas,a7,LM,8,06/01/2014
5661,Free Agents,a37,Res,99,01/01/2015
5662,Jeonnam Dragons,a38,RCB,28,07/01/2016
5663,CA Osasuna,a1,RB,34,08/01/2014
5664,FC Groningen,a10,LM,45,07/01/2015
5665,Ajax,a10,Res,21,08/25/2015
5666,1. FSV Mainz 05,a2,Sub,38,07/01/2016
5667,CF Reus Deportiu,a6,LM,25,08/31/2016
5669,Whitecaps FC,a11,RM,13,01/06/2016
5670,C diz C.F.,a1,LB,14,07/02/2015
5671,Tigre,a5,LDM,14,03/16/2015
5672,Bursaspor,a31,RB,25,01/13/2017
5674,Montpellier HSC,a4,Res,18,01/30/2017
5676,Boca Juniors,a11,LCM,30,01/03/2015
5677,Atlas,a15,Sub,8,01/01/2015
5678,Once Caldas,a14,Sub,11,12/19/2016
5679,Junior,a14,Res,30,01/04/2017
5680,Indep. Medell n,a14,Res,19,12/26/2015
5681,Whitecaps FC,a26,RCB,26,01/15/2015
5682,Racing Club,a5,Sub,30,07/20/2016
5683,FC Ingolstadt,a2,Sub,19,01/09/2015
5684,Feyenoord,a10,Sub,26,07/01/2014
5685,Mar del Plata,a5,CB,8,01/01/2011
5686,Mar del Plata,a5,Sub,1,01/01/2007
5687,Paos Ferreira,a3,Sub,8,07/08/2015
5688,SC Heerenveen,a17,Sub,18,01/01/2015
5689,Parque Patricios,a5,Sub,17,08/05/2013
5690,Mar timo,a6,LW,50,07/01/2013
5691,Estudiantes,a13,Sub,16,08/01/2016
5692,SL Benfica,a3,Res,38,01/04/2017
5693,Once Caldas,a14,Sub,17,08/01/2014
5694,Royal Mouscron,a34,LM,10,07/01/2012
5695,FC Midtjylland,a17,RCM,22,01/01/2015
5696,Werder Bremen,a2,Res,17,07/01/2016
5697,Piast Gliwice,a31,Sub,12,08/29/2014
5698,Dijon FCO,a7,Sub,24,07/11/2016
5699,AS Monaco,a7,Sub,34,03/28/2014
5700,Free Agents,a29,Res,99,10/04/2014
5701,Chelsea,a9,Res,41,09/15/2014
5702,Willem II,a4,ST,58,09/01/2015
5703,Huddersfield,a9,Sub,45,07/01/2014
5704,Juventus,a8,Res,41,01/19/2016
5705,Ind. Santa Fe,a14,RCM,13,06/30/2014
5706,F. Santa Maria,a3,Res,11,01/26/2017
5707,Free Agents,a37,Res,99,01/01/2014
5708,Sporting Gijn,a39,Res,20,11/12/2015
5709,CD Tenerife,a1,RCB,21,07/01/2014
5710,FC St. Gallen,a2,Sub,80,08/13/2014
5711,AJ Auxerre,a7,RCM,4,08/09/2014
5712,Free Agents,a46,Res,99,01/01/2012
5713,AD Alcorcn,a1,Sub,4,08/12/2015
5714,Boca Juniors,a5,Sub,19,07/01/2016
5715,Bursaspor,a16,RCB,24,07/01/2014
5716,Orlando Pirates,a37,Sub,15,07/30/2014
5717,Rosario Central,a5,RB,32,07/01/2013
5719,Real Valladolid,a1,LCM,19,07/26/2012
5720,Cagliari,a8,Sub,18,07/01/2014
5721,Belgrano,a5,Sub,23,07/14/2016
5722,Brentford,a7,Sub,29,06/25/2015
5723,Excelsior,a10,LCB,30,06/03/2014
5724,Tijuana,a15,Sub,11,07/01/2014
5725,CF Reus Deportiu,a1,Sub,7,07/09/2016
5727,Dynamo Dresden,a2,GK,25,07/06/2015
5728,KV Mechelen,a23,Res,17,08/02/2013
5729,Paos Ferreira,a6,RDM,29,07/01/2014
5730,CD M a76ds,a1,CDM,16,08/25/2015
5731,Kayserispor,a31,LDM,5,07/11/2014
5732,Lans,a27,Sub,23,02/22/2017
5733,Kayserispor,a16,LB,23,07/01/2015
5735,Sevilla Atlt.,a1,RDM,14,08/17/2016
5737,EA Guingamp,a7,Sub,9,06/21/2016
5738,Terek Grozny,a25,Sub,22,07/23/2015
5739,Krylya Sovetov,a25,Sub,13,07/03/2014
5740,Bursaspor,a16,Sub,22,07/01/2015
5741,CF Reus Deportiu,a11,RM,20,07/06/2015
5742,C diz C.F.,a1,CAM,18,08/05/2016
5743,Dijon FCO,a36,Sub,2,09/07/2016
5744,Nmes Olympique,a7,RCB,23,05/16/2014
5745,Akhisarspor,a16,LB,89,07/23/2013
5746,Antalyaspor,a16,Sub,77,07/21/2016
5747,Wolves,a10,Sub,25,08/26/2016
5748,Terek Grozny,a25,LDM,14,02/27/2014
5749,Genoa,a8,Sub,32,01/05/2017
5750,Nott'm Forest,a6,Res,10,07/01/2012
5752,Rio Ave,a6,Sub,4,01/01/2014
5753,SC Heerenveen,a33,Sub,8,07/01/2014
5754,Ipswich,a9,RCM,18,08/01/2016
5755,Parque Patricios,a11,Sub,6,07/16/2015
5756,Ipswich,a9,Sub,7,03/07/2014
5757,Philadelphia,a26,LCB,16,03/06/2014
5759,Stade Brestois,a7,RW,7,01/30/2014
5760,Indep. Medell n,a14,Sub,14,07/01/2013
5761,Udinese,a3,Sub,96,07/11/2016
5762,Paos Ferreira,a6,Sub,10,01/22/2014
5763,KAA Gent,a21,Sub,1,07/01/2016
5764,Millonarios,a14,RB,18,12/21/2016
5765,Atltico Bucaramanga,a14,Sub,17,01/04/2017
5766,Indep. Medell n,a14,Res,3,08/01/2010
5767,Uni. Catlica,a13,Res,17,06/23/2015
5768,Giron. Bordeaux,a7,Sub,21,12/15/2013
5769,Vlez Sarsfield,a5,Sub,10,11/17/2013
5770,Crdoba CF,a1,Sub,19,07/01/2016
5773,Estoril Praia,a3,Sub,3,07/01/2016
5774,Lans,a5,Sub,20,09/07/2013
5778,Terni,a11,ST,20,08/21/2013
5779,Deportes Temuco,a13,ST,27,01/31/2017
5780,Eint. Frankfurt,a11,Sub,3,06/11/2013
5782,Hellas Verona,a8,Sub,28,07/01/2013
5783,Sarand ,a5,Sub,5,01/01/2014
5786,Club Brugge,a26,Sub,22,01/03/2017
5787,GFC Ajaccio,a7,RCB,4,06/27/2016
5788,Kaizer Chiefs,a37,RCB,26,02/02/2013
5789,Pescara,a8,RB,11,07/23/2015
5790,Sint-Truiden,a13,Sub,16,07/23/2012
5793,Tondela,a3,RB,13,07/01/2013
5794,Unin,a5,Sub,2,01/01/2010
5797,Millonarios,a14,Sub,30,07/08/2014
5798,Wolves,a9,Sub,18,01/01/2013
5800,Santa Fe,a27,Sub,16,08/22/2016
5801,Colo-Colo,a13,Sub,21,08/05/2016
5803,Derby County,a4,RDM,17,02/01/2016
5804,Santos Laguna,a15,LM,7,01/01/2013
5805,FC Nordsjlland,a21,GK,1,02/10/2017
5806,Avellino,a11,RB,32,07/01/2013
5807,Once Caldas,a14,RDM,21,01/05/2017
5809,Amrica,a15,Sub,5,06/01/2015
5810,PAOK,a23,Sub,27,08/11/2014
5811,Rio Ave,a6,Sub,9,07/01/2013
5812,Dynamo Dresden,a2,ST,30,07/01/2015
5813,CD M a76ds,a1,RW,8,07/01/2015
5814,Sunderland,a9,Sub,14,07/01/2013
5815,Dynamo Dresden,a2,LM,10,07/01/2013
5816,Clermont Foot,a7,RM,21,07/01/2013
5817,Estoril Praia,a3,Sub,33,02/01/2016
5818,Carpi,a8,RCB,13,08/01/2010
5819,G. La Plata,a5,RB,4,07/05/2012
5820,Roda JC,a10,RDM,30,01/30/2017
5821,FC Sochaux,a7,Sub,11,08/17/2015
5822,Eint. Frankfurt,a18,Sub,30,01/07/2016
5823,Heracles Almelo,a10,Sub,12,07/01/2015
5824,1. FC Kln,a7,Sub,19,07/20/2016
5825,ES Troyes AC,a7,RB,2,06/09/2016
5826,Millonarios,a5,Sub,11,01/22/2015
5827,Quilmes,a5,LCB,2,07/08/2016
5828,FC Ufa,a25,Sub,57,08/31/2015
5829,Belgrano,a5,Res,32,01/01/2009
5830,Quilmes,a5,GK,1,07/01/2007
5831,Stade Rennais,a7,LM,23,05/01/2013
5832,Jun n,a5,RCB,21,07/07/2015
5833,Boca Juniors,a5,Sub,28,08/20/2016
5834,Racing Club,a5,RM,24,07/08/2014
5835,Lans,a5,Sub,11,01/23/2016
5836,Tigre,a5,GK,34,08/26/2016
5837,Vlez Sarsfield,a5,Sub,1,07/01/2011
5838,Estudiantes,a5,Sub,15,07/22/2013
5839,Real Oviedo,a1,Sub,3,07/14/2016
5840,Depor. Iquique,a13,ST,11,06/14/2016
5841,Colo-Colo,a13,Sub,15,07/04/2016
5842,Lans,a5,LB,21,02/01/2013
5843,Real Valladolid,a5,LB,6,07/18/2016
5844,CD Everton,a5,RW,7,07/01/2010
5845,Unin Espaola,a13,Sub,20,06/26/2015
5846,Tigre,a5,Sub,16,01/18/2016
5847,CD Antofagasta,a13,Sub,8,01/01/2010
5848,Atl. Nacional,a14,Sub,20,01/01/2012
5849,Pachuca,a14,Sub,33,06/06/2014
5850,Atl. Nacional,a14,Sub,1,07/01/2012
5851,Ind. Santa Fe,a14,Sub,26,07/04/2016
5852,Junior,a14,Sub,5,07/25/2013
5853,CD Huachipato,a13,CAM,8,05/13/2016
5854,Uni. de a13,a13,Sub,4,06/16/2016
5855,La Equidad,a14,Sub,19,01/05/2015
5856,CD Huachipato,a13,LCB,20,01/31/2017
5857,Deportes Tolima,a14,LDM,24,12/24/2016
5858,Junior,a14,RCB,3,01/08/2016
5859,Patriotas,a14,CDM,6,07/01/2013
5860,Deportes Tolima,a14,Sub,5,07/30/2014
5861,Al. Petrolera,a14,ST,19,01/25/2017
5862,Patriotas,a14,LB,14,07/01/2012
5863,Houston Dynamo,a14,CM,5,01/01/2009
5864,Atltico Bucaramanga,a14,Sub,25,01/01/2017
5865,Atltico Huila,a14,Sub,19,02/15/2017
5866,Deportivo Cali,a14,Sub,29,01/13/2016
5867,IFK Norrkping,a21,RB,6,01/01/2014
5868,Blackburn Rovers,a9,Sub,19,09/01/2012
5869,RC Strasbourg,a4,LS,9,07/18/2015
5870,Pescara,a8,Sub,20,07/19/2015
5871,Wanderers,a13,CAM,17,01/21/2017
5874,Manchester Utd,a9,Res,51,12/01/2012
5875,Feyenoord,a21,Sub,27,07/15/2015
5876,CD O'Higgins,a13,Sub,21,06/06/2016
5878,Terek Grozny,a11,RDM,23,01/20/2013
5879,Nagoya,a21,ST,9,12/10/2015
5880,Spartak Moscow,a25,LM,47,06/15/2016
5881,Banfield,a5,RM,18,07/04/2016
5882,FC Ingolstadt,a2,Sub,14,01/17/2014
5883,Dijon FCO,a7,LCM,14,01/01/2013
5885,CD Palestino,a27,ST,18,01/09/2013
5886,CD Antofagasta,a13,LW,10,07/12/2016
5887,FC Basel,a34,Sub,4,06/10/2016
5888,Nacional,a35,ST,27,01/30/2017
5889,New a9,a26,RB,2,01/01/2013
5890,Guadalajara,a15,Res,24,01/01/2012
5891,Cesena,a8,CAM,7,07/01/2013
